"ID","REC_TYPE","FNO","D_DATA","D_DIAM","D_LENGTH","D_WIDTH","D_THICK","D_HEIGHT","D_WEIGHT","D_AREA","D_VOLUME"
50,"BF",8624,"Primary",0,0,0,0,0,0,0,0
51,"BF",8625,"Primary",0,0,0,0,0,0,0,0
52,"BF",8628,"Primary",0,0,0,0,0,0,0,0
53,"BF",8971,"Primary",0,0,0,0,0,0,0,0
54,"BF",8974,"Primary",0,0,0,0,0,0,0,0
55,"BF",8975,"Primary",0,0,0,0,0,0,0,0
56,"BF",8977,"Primary",0,0,0,0,0,0,0,0
57,"BF",8978,"Primary",0,0,0,0,0,0,0,0
58,"BF",9101,"Primary",0,0,0,0,0,0,0,0
59,"BF",9103,"Primary",0,0,0,0,0,0,0,0
60,"BF",9104,"Primary",0,0,0,0,0,0,0,0
61,"BF",9105,"Primary",0,0,0,0,0,0,0,0
62,"BF",9107,"Primary",0,0,0,0,0,0,0,0
63,"BF",8021,"Primary",0,0,0,0,0,0,0,0
64,"BF",8024,"Primary",0,0,0,0,0,0,0,0
65,"SF",830,"Primary",0,27,6,0,0,0,0,0
66,"BF",8511,"Primary",0,0,0,0,0,0,0,0
67,"BF",8513,"Primary",0,0,0,0,0,0,0,0
68,"BF",8514,"Primary",0,0,0,0,0,0,0,0
69,"BF",8515,"Primary",0,0,0,0,0,0,0,0
70,"BF",8518,"Primary",0,0,0,0,0,0,0,0
71,"BF",8581,"Primary",0,0,0,0,0,0,0,0
72,"BF",8585,"Primary",0,0,0,0,0,0,0,0
73,"BF",8588,"Primary",0,0,0,0,0,0,0,0
74,"BF",9571,"Primary",0,0,0,0,0,0,0,0
75,"BF",9573,"Primary",0,0,0,0,0,0,0,0
76,"BF",9574,"Primary",0,0,0,0,0,0,0,0
77,"BF",9578,"Primary",0,0,0,0,0,0,0,0
78,"BF",9611,"Primary",0,0,0,0,0,0,0,0
79,"BF",9614,"Primary",0,0,0,0,0,0,0,0
80,"BF",9615,"Primary",0,0,0,0,0,0,0,0
81,"SF",903,,0,16,14,0,0,0,0,0
82,"SF",904,"D. of head",8,20,0,0,0,0,0,0
83,"SF",1260,,12,0,0,0,0,0,0,0
84,"SF",798,"Primary",0,0,0,0,0,0,0,0
85,"SF",975,,0,60,0,0,0,0,0,0
86,"SF",965,"Primary",0,0,0,0,0,0,0,0
87,"SF",966,"Primary",0,0,0,0,0,0,0,0
88,"SF",801,"Primary",0,32,0,0,0,0,0,0
89,"SF",803,,0,18,0,0,0,0,0,0
90,"SF",2313,,17,0,0,6,0,0,0,0
91,"SF",806,"Primary",0,0,0,0,0,0,0,0
92,"SF",810,"Primary",0,0,0,0,0,0,0,0
